Dec-30-16,Jan-31-17,Feb-28-17,Mar-28-17,Apr-28-17,MAY-31-17,jun-30-17,Jul-31-17,Aug-31-17,Sep-29-17,oct-31-17,nov-30-17,,,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08
AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,,,XOM,XOM,XOM,XOM,XOM,XOM,XOM,XOM,XOM,XOM,XOM,XOM
MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,,,GEC,GEC,GEC,GEC,GEC,GEC,GEC,GEC,GEC,GEC,PG,PG
XOM,XOM,XOM,AMZN,AMZN,AMZN,AMZN,FB,FB,FB,AMZN,AMZN,,,MSFT,MSFT,T,T,T,MSFT,MSFT,MSFT,PG,PG,GEC,GEC
JNJ,AMZN,AMZN,XOM,FB,FB,FB,AMZN,AMZN,AMZN,FB,FB,,,T,T,MSFT,MSFT,MSFT,CVX,PG,PG,MSFT,MSFT,T,T
JPM,JNJ,JNJ,JNJ,XOM,JNJ,JNJ,JNJ,JNJ,JNJ,JNJ,JNJ,,,PG,PG,PG,PG,CVX,T,JNJ,JNJ,JNJ,JNJ,JNJ,JNJ
AMZN,FB,JPM,FB,JNJ,XOM,XOM,XOM,XOM,XOM,JPM,JPM,,,BAC,CVX,JNJ,CVX,PG,PG,T,T,JPM,T,CVX,CVX
GE,JPM,FB,JPM,JPM,JPM,JPM,JPM,JPM,JPM,XOM,XOM,,,JNJ,JNJ,CVX,JNJ,JNJ,JNJ,IBM,CVX,CVX,CVX,MSFT,MSFT
FB,GE,GE,GE,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,,,CVX,BAC,BAC,IBM,IBM,IBM,CVX,IBM,T,JPM,WMT,WMT
T,T,WFC,T,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,,,PFE,IBM,IBM,BAC,AAPL,AAPL,BAC,AAPL,BAC,IBM,JPM,PFE
WFC,WFC,T,GOOGL,GE,GE,WFC,WFC,BAC,BAC,BAC,BAC,,,JPM,MO,JPM,JPM,CSCO,COP,JPM,CSCO,IBM,WMT,PFE,JPM
GOOGL,GOOGL,GOOGL,WFC,T,T,BAC,BAC,PG,WFC,WFC,WFC,,,MO,PFE,CSCO,AAPL,BAC,CSCO,AAPL,BAC,WMT,BAC,IBM,IBM
GOOG,GOOG,BAC,GOOG,WFC,WFC,GE,T,T,T,PG,PG,,,CSCO,CSCO,PFE,CSCO,JPM,WMT,WMT,WMT,CSCO,PFE,WFC,WFC
PG,PG,GOOG,BAC,BAC,PG,T,PG,WFC,PG,CVX,CVX,,,IBM,JPM,AAPL,WMT,COP,SLB,CSCO,JPM,PFE,WFC,CSCO,VZ
BAC,BAC,PG,PG,PG,BAC,PG,GE,GE,CVX,INTC,T,,,AIG,COP,WMT,PFE,WMT,INCO,INCO,INCO,WFC,CSCO,KO,CSCO
CVX,CVX,CVX,PFE,CVX,CMCSA,PFE,CVX,CVX,PFE,PFE,UNH,,,GOOGL,HPQ,INCO,COP,GOOGL,GOOGL,PFE,PFE,HPQ,AAPL,VZ,KO
VZ,VZ,PFE,CVX,PFE,CVX,CVX,PFE,PFE,GE,T,PFE,,,COP,AIG,KO,GOOGL,INCO,JPM,COP,COP,PEP,HPQ,PEP,HPQ
PFE,PFE,VZ,VZ,HD,PFE,CMCSA,VZ,VZ,VZ,UNH,HD,,,INCO,WMT,COP,INCO,PFE,PFE,SLB,HPQ,COP,INCO,PM,PM
INTC,CMCSA,MRK,HD,VZ,VZ,C,CMCSA,CMCSA,C,V,INTC,,,WMT,INCO,PEP,SLB,SLB,HPQ,HPQ,PM,INCO,PM,HPQ,PEP
C,INTC,CMCSA,CMCSA,CMCSA,HD,HD,C,UNH,HD,C,VZ,,,AAPL,KO,HPQ,KO,HPQ,BAC,GOOGL,SLB,KO,PEP,AAPL,ABT
CMCSA,MRK,HD,PM,PM,PM,PM,UNH,V,V,HD,V,,,KO,PEP,AIG,AIG,KO,PM,PM,PEP,AAPL,KO,BAC,INCO
HD,HD,CSCO,MRK,MRK,MRK,VZ,V,C,UNH,VZ,C,,,WFC,AAPL,PM,HPQ,PM,KO,PEP,GOOGL,PM,GOOGL,ABT,COP
MRK,DIS,INTC,INTC,INTC,V,UNH,PM,PM,CMCSA,KO,CSCO,,,HPQ,GOOGL,VZ,VZ,VZ,VZ,KO,KO,GOOGL,ABT,COP,AAPL
KO,KO,C,CSCO,CSCO,KO,MRK,HD,HD,INTC,GE,CMCSA,,,VZ,VZ,SLB,PEP,PEP,PEP,WFC,VZ,SLB,VZ,INCO,GOOGL
DIS,C,PM,C,V,INTC,V,KO,KO,MRK,CSCO,KO,,,PEP,SLB,GOOGL,PM,AIG,ORCL,VZ,WFC,VZ,COP,GOOGL,BAC
UNH,V,V,V,UNH,UNH,KO,MRK,MRK,KO,CMCSA,DWDP,,,MRK,WFC,WFC,WFC,WFC,ABT,QCI,ABT,ABT,ORCL,MCD,ORCL
CSCO,UNH,KO,DIS,DIS,C,PEP,INTC,PEP,PM,DWDP,PEP,,,SLB,MRK,ABT,ORCL,ORCL,MRK,ABT,ORCL,ORCL,MRK,ORCL,MCD
PEP,CSCO,DIS,KO,KO,PEP,INTC,PEP,INTC,CSCO,PM,DIS,,,ABT,ABT,MRK,MRK,ABT,WFC,ORCL,QCI,QCI,MCD,SLB,MRK
V,IBM,PEP,PEP,C,CSCO,CSCO,DIS,CSCO,DWDP,PEP,PM,,,ORCL,ORCL,ORCL,ABT,MRK,OXY,GS,MRK,MCD,AMGN,AMGN,AMGN
