Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08
AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,MSFT,MSFT,,XOM,XOM,XOM,XOM,XOM,XOM,XOM,XOM,XOM,XOM,XOM,XOM
MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,AAPL,AAPL,,GEC,GEC,GEC,GEC,GEC,GEC,GEC,GEC,GEC,GEC,PG,PG
AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,,MSFT,MSFT,T,T,T,MSFT,MSFT,MSFT,PG,PG,GEC,GEC
FB,FB,FB,BRK-B,FB,FB,FB,FB,FB,BRK-B,BRK-B,BRK-B,BRK-B,,T,T,MSFT,MSFT,MSFT,CVX,PG,PG,MSFT,MSFT,T,T
BRK-B,BRK-B,JPM,FB,JPM,BRK-B,BRK-B,JPM,BRK-B,FB,JNJ,JNJ,JNJ,,PG,PG,PG,PG,CVX,T,JNJ,JNJ,JNJ,JNJ,JNJ,JNJ
JNJ,JPM,BRK-B,JPM,BRK-B,JPM,JPM,BRK-B,JPM,JPM,JPM,JPM,JPM,,BAC,CVX,JNJ,CVX,PG,PG,T,T,JPM,T,CVX,CVX
JPM,JNJ,JNJ,JNJ,JNJ,XOM,XOM,GOOG,GOOG,JNJ,FB,FB,GOOG,,JNJ,JNJ,CVX,JNJ,JNJ,JNJ,IBM,CVX,CVX,CVX,MSFT,MSFT
XOM,XOM,GOOG,XOM,XOM,GOOG,GOOG,GOOGL,GOOGL,GOOG,XOM,GOOG,FB,,CVX,BAC,BAC,IBM,IBM,IBM,CVX,IBM,T,JPM,WMT,WMT
GOOG,GOOG,GOOGL,GOOG,GOOG,GOOGL,GOOGL,JNJ,JNJ,GOOGL,GOOG,XOM,GOOGL,,PFE,IBM,IBM,BAC,AAPL,AAPL,BAC,AAPL,BAC,IBM,JPM,PFE
GOOGL,GOOGL,XOM,GOOGL,GOOGL,JNJ,JNJ,XOM,XOM,XOM,GOOGL,GOOGL,XOM,,JPM,MO,JPM,JPM,CSCO,COP,JPM,CSCO,IBM,WMT,PFE,JPM
BAC,BAC,BAC,BAC,BAC,BAC,BAC,BAC,BAC,BAC,BAC,PFE,PFE,,MO,PFE,CSCO,AAPL,BAC,CSCO,AAPL,BAC,WMT,BAC,IBM,IBM
WFC,WFC,WFC,INTC,INTC,INTC,WFC,WFC,V,V,PFE,UNH,UNH,,CSCO,CSCO,PFE,CSCO,JPM,WMT,WMT,WMT,CSCO,PFE,WFC,WFC
T,CVX,INTC,WFC,CVX,CVX,CVX,V,UNH,PFE,UNH,BAC,VZ,,IBM,JPM,AAPL,WMT,COP,SLB,CSCO,JPM,PFE,WFC,CSCO,VZ
